make,model,year,color,mileage,price,fuel_type,transmission,engine_size,top_speed
Volkswagen,Altima,2000,Blue,70647,89857,Gasoline,Automatic,3.5,142
Honda,A4,2016,Red,73728,56431,Hybrid,Automatic,5.5,80
Hyundai,Silverado,2017,Gray,56078,78610,Diesel,Manual,1.4,126
Nissan,Sonata,2019,Orange,90719,15194,Diesel,Manual,1.7,196
Audi,A4,2007,Yellow,188820,29490,Gasoline,Automatic,5.1,186
Nissan,Mustang,2015,Green,95217,70433,Hybrid,Manual,2.0,151
Nissan,3 Series,2020,Yellow,173403,59268,Hybrid,Automatic,1.5,179
Mercedes-Benz,Altima,2004,Blue,151583,62139,Diesel,Automatic,2.6,190
BMW,3 Series,2022,White,180310,28630,Diesel,Manual,2.6,198
BMW,E-Class,2015,Red,142972,53218,Electric,Manual,1.8,126
Toyota,Silverado,2006,Yellow,63716,86566,Gasoline,Manual,1.8,140
Honda,Camry,2010,White,111828,45200,Gasoline,Manual,6.0,91
BMW,Altima,2004,Blue,71027,85243,Electric,Manual,1.1,102
Mercedes-Benz,Silverado,2000,Black,157076,87441,Diesel,Automatic,1.5,151
Audi,Altima,2018,White,175526,73653,Hybrid,Manual,5.0,116
Chevrolet,Camry,2018,Orange,186234,51343,Electric,Manual,5.9,173
BMW,Camry,2000,Silver,153922,85500,Electric,Automatic,2.9,187
Audi,Golf,2000,White,8794,59290,Gasoline,Automatic,3.5,188
Mercedes-Benz,Mustang,2013,White,13888,88898,Hybrid,Automatic,1.4,116
BMW,Golf,2004,Gray,150705,23713,Gasoline,Automatic,3.8,134
Honda,E-Class,2010,Yellow,55640,16366,Gasoline,Automatic,2.0,157
Mercedes-Benz,Camry,2013,Black,131114,18084,Hybrid,Automatic,3.1,85
Hyundai,Civic,2018,Red,169654,24422,Electric,Manual,5.2,173
Honda,Golf,2008,White,32033,60227,Gasoline,Automatic,5.1,158
Chevrolet,Altima,2003,Gray,167690,6284,Electric,Manual,3.1,102
BMW,A4,2019,Gray,163533,42037,Gasoline,Manual,2.7,94
Toyota,Camry,2020,Green,192041,77958,Hybrid,Manual,2.9,146
Toyota,Camry,2016,Silver,162335,50581,Gasoline,Automatic,5.6,199
BMW,Golf,2001,Black,109440,19994,Diesel,Manual,4.4,105
Audi,3 Series,2013,Green,175221,69427,Electric,Manual,3.3,139
Audi,3 Series,2001,Gray,141666,21441,Diesel,Automatic,4.9,95
Mercedes-Benz,3 Series,2013,Gray,181337,44200,Hybrid,Manual,3.0,185
Mercedes-Benz,Civic,2019,Green,11215,42598,Gasoline,Manual,3.6,180
BMW,Altima,2001,Orange,133620,81865,Diesel,Manual,2.4,84
Nissan,Civic,2022,Gray,137045,21362,Diesel,Automatic,4.3,143
Volkswagen,3 Series,2005,Red,174990,36796,Diesel,Automatic,2.1,97
Volkswagen,Silverado,2008,Blue,53114,40106,Diesel,Manual,5.9,176
Volkswagen,Altima,2018,Black,114713,35757,Electric,Automatic,1.4,85
Mercedes-Benz,E-Class,2017,Green,194346,66026,Hybrid,Manual,4.2,138
BMW,Mustang,2007,Yellow,196141,36431,Gasoline,Automatic,3.9,100
Honda,Civic,2018,Yellow,11484,91883,Hybrid,Manual,3.3,195
Hyundai,A4,2004,Gray,165718,45000,Gasoline,Automatic,3.8,104
Audi,Sonata,2002,Silver,124185,14895,Diesel,Automatic,3.7,80
Mercedes-Benz,Sonata,2012,Black,23357,62308,Hybrid,Manual,3.1,161
Nissan,Civic,2017,Black,163352,37602,Gasoline,Manual,5.6,190
Chevrolet,A4,2007,Orange,72348,52483,Gasoline,Manual,3.8,195
Ford,E-Class,2018,Red,54710,60442,Electric,Manual,2.9,110
Volkswagen,Civic,2006,Gray,35016,75146,Gasoline,Manual,2.3,187
Honda,A4,2010,Gray,6442,74927,Diesel,Automatic,4.2,108
Volkswagen,Civic,2018,Orange,175916,96042,Diesel,Automatic,4.8,195
Honda,Golf,2013,Orange,100622,79301,Hybrid,Manual,5.5,87
Mercedes-Benz,Mustang,2006,Gray,72126,42314,Electric,Manual,1.9,153
Hyundai,A4,2006,Silver,149156,98768,Gasoline,Manual,1.9,157
Mercedes-Benz,E-Class,2002,Gray,186760,75698,Gasoline,Automatic,3.0,93
Toyota,Civic,2003,Purple,52805,7729,Diesel,Automatic,1.1,174
Chevrolet,Silverado,2019,White,6505,46279,Diesel,Manual,4.5,91
Chevrolet,3 Series,2002,Orange,127164,56193,Diesel,Manual,4.7,184
Volkswagen,Mustang,2001,Green,155934,92483,Gasoline,Manual,1.6,100
BMW,Camry,2007,Gray,22303,28557,Electric,Automatic,4.8,175
BMW,Altima,2007,Blue,195815,65335,Gasoline,Automatic,2.3,132
BMW,Sonata,2016,White,150850,52502,Diesel,Automatic,2.9,120
Nissan,A4,2019,Blue,68925,80383,Diesel,Automatic,4.7,178
Toyota,Sonata,2009,Gray,87432,96120,Hybrid,Manual,4.5,168
Mercedes-Benz,Altima,2006,Blue,180971,20440,Electric,Automatic,5.0,120
Chevrolet,Camry,2001,Red,174664,17777,Electric,Automatic,1.9,191
BMW,A4,2016,White,73195,32119,Diesel,Automatic,4.8,198
Mercedes-Benz,Mustang,2012,Purple,161611,9489,Hybrid,Manual,2.7,102
Chevrolet,A4,2016,Gray,154261,5440,Diesel,Automatic,1.8,92
Mercedes-Benz,Silverado,2014,Black,73949,85557,Hybrid,Manual,1.1,174
Chevrolet,Mustang,2021,White,160212,36965,Hybrid,Manual,3.1,108
Chevrolet,Altima,2022,Gray,182229,32112,Gasoline,Automatic,2.0,189
Ford,Sonata,2005,White,158049,17777,Hybrid,Manual,3.5,181
Audi,E-Class,2007,Orange,155955,87666,Gasoline,Automatic,4.5,117
Hyundai,Camry,2000,Black,88136,42835,Gasoline,Automatic,1.2,95
Mercedes-Benz,A4,2006,Black,119406,16200,Diesel,Automatic,2.4,82
Audi,Camry,2012,Black,58824,5633,Hybrid,Automatic,5.8,145
Mercedes-Benz,Camry,2019,Blue,25830,7840,Hybrid,Automatic,1.4,133
Volkswagen,E-Class,2004,Green,166976,26481,Diesel,Manual,1.5,156
BMW,Golf,2014,Black,157881,22377,Gasoline,Manual,2.4,181
Hyundai,Sonata,2006,Gray,170424,24527,Diesel,Manual,5.3,193
